#{"t_start": 1780228725.5359912, "env_id": "None"}
r,l,t
-5.38327e+09,3600,332.449996
-63808.027,3600,332.449996
-85528.16,3600,332.449996
-8.0050196e+09,3600,332.449996
-3.401387e+09,3600,587.277675
-51949.41,3600,587.278685
-52743.324,3600,587.278685
-63861.977,3600,587.278685
-77507.55,3600,974.805628
-62024.78,3600,974.805628
-8.039219e+09,3600,974.805628
-46655.156,3600,974.805628
-48530.21,3600,1252.349272
-71199.33,3600,1252.349272
-7.1908255e+09,3600,1252.349272
-46926.47,3600,1252.349272
-58786.04,3600,1369.540509
-68340.125,3600,1369.540509
-76820.76,3600,1369.540509
-62791.67,3600,1369.540509
-47929.99,3600,1636.626139
-6.340331e+09,3600,1636.626139
-35698.81,3600,1636.626139
-47089.906,3600,1636.627132
-85532.06,3600,2683.42695
-40451.87,3600,2683.42695
-7.445038e+09,3600,2683.42695
-70578.805,3600,2683.42695
-80471.734,3600,2820.724184
-64735.05,3600,2820.724184
-90118.46,3600,2820.724184
-47024.605,3600,2820.724184
-60823.965,3600,2936.923042
-99417.16,3600,2936.923042
-73252.38,3600,2936.923042
-31503.582,3600,2936.923042
-36583.285,3600,3088.205033
-44904.293,3600,3088.205033
-54104.727,3600,3088.205033
-106299.08,3600,3088.205033
-230146.45,3600,3262.604117
-100552.82,3600,3262.605117
-71464.055,3600,3262.605117
-100139.82,3600,3262.605117
-82041.805,3600,3393.2162
-87333.82,3600,3393.2162
-60591.996,3600,3393.2162
-54234.555,3600,3393.2162
-39644.523,3600,3513.126137
-69291.02,3600,3513.126137
-76863.14,3600,3513.126137
-77748.21,3600,3513.126137
-52007.98,3600,4438.057766
-108971.25,3600,4438.057766
-85243.59,3600,4438.057766
-48082.734,3600,4438.057766
-64924.066,3600,4616.435515
-85391.555,3600,4616.544147
-80098.805,3600,4616.544147
-75568.4,3600,4616.544147
-78087.06,3600,4833.340861
-49353.66,3600,4833.341865
-98340.53,3600,4833.341865
-98886.375,3600,4833.341865
-44470.41,3600,4974.450008
-58287.355,3600,4974.450008
-66741.625,3600,4974.450008
-220806.88,3600,4974.450008
-58099.1,3600,5147.795398
-84147.61,3600,5147.795398
-53240.83,3600,5147.795398
-73186.914,3600,5147.795398
-38048.16,3600,5320.808564
-53747.254,3600,5320.808564
-69187.32,3600,5320.808564
-59889.316,3600,5320.808564
-78529.836,3600,5499.983929
-63934.9,3600,5499.983929
-120654.14,3600,5499.983929
-73688.59,3600,5499.983929
-101596.375,3600,6580.386561
-61778.016,3600,6580.386561
-75762.36,3600,6580.386561
-51019.414,3600,6580.386561
-45340.34,3600,6757.302747
-44126.832,3600,6757.302747
-48949.586,3600,6757.302747
-89132.9,3600,6757.302747
-51079.72,3600,6936.963106
-112444.32,3600,6936.963106
-55180.516,3600,6936.963106
-98242.555,3600,6936.963106
-52478.406,3600,7165.374458
-88038.51,3600,7165.374458
-71014.95,3600,7165.374458
-75522.48,3600,7165.374458
-4.8167793e+09,3600,7525.4138
-42992.426,3600,7525.4138
-88252.31,3600,7525.4138
-55819.117,3600,7525.4138
-101882.74,3600,7708.225387
-86509.7,3600,7708.225387
-73369.49,3600,7708.225387
-55188.98,3600,7708.225387
-67066.055,3600,7876.991516
-70825.25,3600,7876.991516
-65990.6,3600,7876.991516
-70455.54,3600,7876.991516
