n,mean,median,std,q1,q3,iqr,min,max,collapse_pct,cvar95,agent,chaos_level
10,589.3165,560.3250,139.6136,500.9552,579.0156,78.0604,417.3875,853.9861,0.0000,853.9861,ppo_ideal,0.0000
10,54281.2561,882.5000,160249.5928,730.4014,1089.1219,358.7205,402.8708,535029.4569,10.0000,535029.4569,ppo_ideal,0.1500
10,645.5311,683.9347,160.9550,567.5205,725.0163,157.4958,354.7403,922.1389,0.0000,922.1389,ppo_ideal,0.3000
10,775.0839,671.6021,378.9348,489.0545,1044.2424,555.1878,359.8361,1586.8528,0.0000,1586.8528,ppo_ideal,0.5000
10,580.5042,566.3264,139.3508,498.4267,659.3788,160.9521,352.9306,859.1583,0.0000,859.1583,ppo_chaos,0.0000
10,696.9604,617.4090,281.2497,471.3823,881.0302,409.6479,378.8625,1322.8917,0.0000,1322.8917,ppo_chaos,0.1500
10,13796.8151,594.8611,29453.0523,522.3372,9050.0979,8527.7608,294.0931,99555.2083,30.0000,99555.2083,ppo_chaos,0.3000
10,16942.6138,622.4215,48934.8745,487.6528,849.7212,362.0684,363.1778,163746.2736,10.0000,163746.2736,ppo_chaos,0.5000
10,585.5987,459.6750,242.9347,422.6701,671.5132,248.8431,374.6931,1039.1889,0.0000,1039.1889,MaxPressure,0.0000
10,591.2640,603.6132,222.5036,486.5934,728.0934,241.5000,194.4097,959.8056,0.0000,959.8056,MaxPressure,0.1500
10,672.5715,564.1458,270.4917,504.1698,731.0979,226.9281,409.5931,1336.2569,0.0000,1336.2569,MaxPressure,0.3000
10,687.3881,592.3375,285.7402,539.7917,723.8628,184.0712,374.8194,1390.2694,0.0000,1390.2694,MaxPressure,0.5000
10,5866.9776,599.0236,15942.8766,439.4986,668.4330,228.9344,315.4028,53693.7681,10.0000,53693.7681,Fixed,0.0000
10,450.2531,436.3417,170.9954,338.3028,507.6854,169.3826,197.0125,813.7569,0.0000,813.7569,Fixed,0.1500
10,58199.6428,415.7715,173407.4902,303.5875,522.9785,219.3910,249.0653,578422.0236,10.0000,578422.0236,Fixed,0.3000
10,343.8147,268.7625,171.7440,234.5951,359.3389,124.7438,202.2333,750.8125,0.0000,750.8125,Fixed,0.5000
10,3614.1735,298.9493,9823.4470,280.8715,440.9819,160.1104,244.4611,33083.1639,10.0000,33083.1639,CoLight,0.0000
10,240.6161,266.8090,92.9119,177.5781,298.4913,120.9132,98.9792,391.8292,0.0000,391.8292,CoLight,0.1500
10,254.5981,237.1931,108.5910,147.5340,347.0073,199.4733,127.0903,442.1153,0.0000,442.1153,CoLight,0.3000
10,3630.5356,282.6604,9752.2725,226.6528,483.8733,257.2205,166.0139,32875.6500,10.0000,32875.6500,CoLight,0.5000
