agent,chaos_level,delay_mean,delay_std,queue_mean,queue_std,gini_mean,gini_std,cvar_95_mean,cvar_95_std,reward_mean,reward_std,teleports_mean,collisions_mean
CoLight,0.0,3614.1734722222222,10354.822354368314,30.499166666666667,30.19361944907447,0.48055374675533835,0.04924872904730981,34617.188888888886,100852.77776810019,-1127323.0896092993,3200071.7713821754,0.0,0.0
CoLight,0.15,240.6161111111111,97.93771355580942,16.802777777777777,3.657628802488044,0.5039185245650717,0.026007104461428482,2295.883333333333,1385.2560379854096,-81977.66640130607,32440.652906080544,0.0,9.6
CoLight,0.3,254.5980555555556,114.46498349121761,19.29611111111111,5.340865100391146,0.49760653815620265,0.028340117969522436,2362.4527777777776,1358.0052960487176,-85275.90301224173,35884.34099815547,0.0,36.6
CoLight,0.5,3630.535555555555,10279.797772546868,31.731666666666666,34.165664712298465,0.47703325515664696,0.037195890787625814,37942.24444444444,105278.10187533975,-1138326.479183114,3202188.342048615,0.0,116.4
Fixed,0.0,5866.977638888889,16805.26752202604,37.80138888888889,27.557965012203905,0.48560645790253243,0.011643498007649059,38071.36666666667,108561.92217325853,-2025225.6509949074,5814952.89742736,0.0,0.0
Fixed,0.15,450.2530555555556,180.2450074361994,28.042916666666667,6.909576180291752,0.48901054821028894,0.026000749300928563,3327.6555555555556,1400.1659992586985,-151820.73627841342,59904.728326349694,0.0,10.4
Fixed,0.3,58199.64277777778,182787.54411429976,75.37208333333334,151.96072475588616,0.45384730501928267,0.11067420928440122,176819.53333333333,549624.2730284056,-17863631.231017888,56063429.711204454,0.0,37.8
Fixed,0.5,343.81472222222226,181.03406038258174,27.129305555555554,8.735008086806646,0.4753623304870497,0.02935169130309768,2290.027777777778,1275.3783747577522,-115361.8782633852,60176.05768821206,0.0,119.0
MaxPressure,0.0,585.5987499999999,256.07569112016256,33.46513888888889,11.413539763768688,0.47413607998337176,0.030023134072380196,3614.975,1191.1041185971794,-194655.0233932764,83504.628232259,0.0,0.0
MaxPressure,0.15,591.2640277777778,234.5393725944614,35.49777777777778,11.611210315454285,0.47260906483641724,0.036734435526922384,3174.756006006006,1013.7737326992229,-199668.1335580047,78342.17851417599,0.0,8.8
MaxPressure,0.3,672.5715277777778,285.12324448060275,39.624861111111116,14.25845080154631,0.4537798244014589,0.03824510433273344,3742.2788288288293,1210.7536983146995,-222846.23644207075,89918.39779438765,0.0,42.4
MaxPressure,0.5,687.3880555555555,301.1966101823516,39.26902777777778,11.170966289771991,0.4524292534186194,0.02503906968294107,4485.475,2645.2272205674644,-226853.54471873847,92931.07455338279,0.0,122.6
ppo_chaos,0.0,580.5041666666667,146.88860011312224,33.70944444444444,7.179950627621973,0.4669425521822026,0.024598063116201704,3175.8777777777777,648.0766839173519,-194471.45959127136,48818.22189652399,0.0,0.0
ppo_chaos,0.15,696.9604166666667,296.46321815296756,38.69958333333334,14.48439403744108,0.45354230026455805,0.034769018380585985,4213.358333333334,1878.1231507412226,-232778.80513685718,96151.29564744729,0.0,10.6
ppo_chaos,0.3,13796.81513888889,31046.2430660283,60.29055555555556,56.68884208064016,0.44780682651636494,0.06053619079858527,101319.47777777779,202903.8756630173,-4355065.996274528,9683880.556194039,0.0,35.6
ppo_chaos,0.5,16942.613749999997,51581.88678752711,47.68597222222222,33.03131553290287,0.4777869109633482,0.08507981122810741,50888.55277777778,148517.26855242823,-6115959.691972768,18679397.65300582,0.0,117.6
ppo_ideal,0.0,589.3165277777778,147.1657029823209,34.80625,7.10158687304449,0.45698899991499886,0.021558129571312038,3254.888888888889,616.1959004152937,-196772.00962398166,48635.82484306238,0.0,0.0
ppo_ideal,0.15,54281.256111111106,168917.90243746957,90.88777777777779,133.41811583472284,0.4021080641867593,0.07616902551586956,163755.61944444446,504656.4975090584,-16799518.225341864,52222451.2821267,0.0,10.2
ppo_ideal,0.3,645.5311111111112,169.66150629471827,38.723194444444445,8.301806362233995,0.4698882221220993,0.021643871591729005,3752.790840840841,1038.6001691684012,-217171.0758559784,55638.50877042631,0.0,46.2
ppo_ideal,0.5,775.083888888889,399.43237353367965,44.29513888888889,17.185342123550047,0.4462805288372976,0.045108844709961085,4021.986111111111,1616.5338519990169,-257673.37659422884,126982.7226149244,0.0,130.2
